ParlaMint-GB_2015-01-05-commons.u1	1. What progress her Department has made on implementing exit checks at borders.
ParlaMint-GB_2015-01-05-commons.u184	The south-west was cut off from the UK last winter and Network Rail performed miracles in getting that line back up and running. I therefore find it extraordinary that reasons such as the weather have been used to excuse the chaos and incompetence of this debacle, particularly out of King’s Cross. Why did the Secretary of State feel that it was not necessary for Ministers to ask for a basic reassurance that an overrun on any of the big programmes could be managed? Why were contingency plans not in place, and why was the rail regulator warning not adhered to?
ParlaMint-GB_2015-01-05-commons.u185	The hon. Lady is absolutely right about Network Rail re-establishing the Dawlish link last winter. I would say that that also came after some very bad weather, which created the problem, and some of the work on that coastal line is still ongoing, 12 months later. On the work that was taking place over this Christmas period, there were 2,000 locations nationwide and the vast majority of work was done on time and to the accepted standards. Two locations had particular problems, and we need to learn the lessons from them and make sure they do not happen again.
ParlaMint-GB_2015-01-05-commons.u186	I am grateful to my right hon. Friend for his remarks, and I agree with my right hon. Friends the Members for Chelmsford (Mr Burns) and for Saffron Walden (Sir Alan Haselhurst). One of the problems is that these works are not necessarily one-offs, and they are recognised only when they go wrong and not when they go well. My constituents in West Drayton will be pleased to know that they can get some compensation, but can the Secretary of State think of any way, perhaps from his previous incarnation, in which some incentivisation for Network Rail, whether by carrots or possibly sticks, might be useful?
ParlaMint-GB_2015-01-05-commons.u187	I am not sure that thinking about a previous incarnation would serve me very effectively in my job as Secretary of State for Transport. I would point out to my right hon. Friend that the carrots are there, and that the Office of Rail Regulation might well be providing the sticks. It is right to record our recognition of the tremendous work that was done by many engineers across this period. As the hon. Member for Plymouth, Moor View (Alison Seabeck) has just said, last Easter most Members were praising Network Rail for the fantastic job it had done in restoring the Dawlish link.
ParlaMint-GB_2015-01-05-commons.u188	Does the Secretary of State accept that an underlying problem is the fragmentation of the railways, with no single guiding mind responsible for providing an integrated railway system? Will he look again at my Railways Bill, which precisely would create a coherent railway system and bring it back into public ownership? This is not about nostalgia. We have only to look at the success of the east coast main line. When East Coast was in public ownership, it delivered far greater public satisfaction than any of the other lines.
ParlaMint-GB_2015-01-05-commons.u189	No.
ParlaMint-GB_2015-01-05-commons.u190	I join my right hon. Friend in congratulating Network Rail staff on the extraordinary maintenance programme and welcome his swift action in calling Network Rail to account. Will he assure the House that when Network Rail reports to him it will, first, ensure that the systemic failure at King’s Cross is not repeated and does not become endemic across the industry; and, secondly, that, as more services become operational, punctuality is improved?
ParlaMint-GB_2015-01-05-commons.u191	Network Rail will publish the report that has been ordered by the chief executive by the end of this week, in time for the appearance of the chief executive and Robin Gisby before the Transport Select Committee. My hon. Friend is absolutely right about the importance to commuters of the railway’s reliability.
ParlaMint-GB_2015-01-05-commons.u192	The Secretary of State should have had a warning about these problems from Network Rail’s performance in the run-up to Christmas. If he had been travelling on Southeastern Trains, he would have suffered a great deal of disruption on several days during that period. If he had been on top of his game, he would have asked Network Rail about its capacity to manage the engineering schemes, but he failed to do so. What sanctions will he put in place so that the management of Network Rail can be held to account for their failures over the Christmas period?
ParlaMint-GB_2015-01-05-commons.u193	I will go back to the Department and try to find the letter that the hon. Gentleman sent me warning me that the possibility of delays was so obvious. I think he is speaking with the benefit of hindsight, rather than having warned us about the delays beforehand. I travel on many different parts of the rail network, and I see the huge amount of work that is being carried out on it.
ParlaMint-GB_2015-01-05-commons.u194	The Southern commuters I represent in Redhill faced a total suspension of services into London Bridge between 20 December and 4 January. They now face three years of reduced service and today, the first day back, the service collapsed, apparently because of signal problems. At a public meeting with me, Southern undertook to explore how it could reduce the cost of season tickets for those long-suffering commuters over this period, but it is now hiding behind its relationship with the Department for Transport. Will the Secretary of State and the rail Minister work with me and Southern to find a way of ensuring that my commuters pay a fair price for a much reduced service?
ParlaMint-GB_2015-01-05-commons.u195	London Bridge is going through one of the biggest transformations that any station is likely to go through. It has some 220,000 daily users, and this work cannot be undertaken without causing some disruption. Those of us who were using St Pancras station when it was experiencing disruption for many years will know that, at the end of the day, we ended up with a far better station. I accept my hon. Friend’s point about the in-between periods. The rail Minister and I will be more than happy to meet him and to talk through this programme, which is, as he says, going to go on for three years.
ParlaMint-GB_2015-01-05-commons.u196	At what point was the Secretary of State aware of the contingency plan that Network Rail had put in place to funnel passengers to a clearly inadequate solution through Finsbury Park? Why were solutions such as using the Hertford loop or allowing commuters from north Yorkshire, Teesside and the north-east to use their tickets to go through St Pancras to Sheffield and Leeds, so that they could connect with Transpennine and other services, not examined?
ParlaMint-GB_2015-01-05-commons.u197	The hon. Gentleman makes a valid point. I was told of the difficulties on the Saturday afternoon. I spoke to Mark Carne then or at least on the Saturday evening—I would have to check that exactly, as I had several conversations with him over the Christmas holiday period. The hon. Gentleman’s point about re-routing on the Midland main line was interesting and I do want to check how the contingency arrangements were worked out, as I do not think they were worked out satisfactorily.
ParlaMint-GB_2015-01-05-commons.u198	As my right hon. Friend has said, the situation was inadequate and unacceptable. Does he agree that when such situations occur passengers want information quickly, but that an inadequate number of staff were available? Does he also agree, however, that rather than jump to conclusions, as the shadow Minister has, the best way forward is to await the various reports? Will my right hon. Friend assure us that he will act on their recommendations?
ParlaMint-GB_2015-01-05-commons.u199	Indeed. I am grateful to my hon. Friend. I will not just get that report—he serves on the Transport Committee, along with the hon. Member for Liverpool, Riverside (Mrs Ellman), and I am sure it will also issue a report, which I will look at with great interest. The point just made by the hon. Member for Middlesbrough South and East Cleveland (Tom Blenkinsop) about communications in respect of alternative uses and other lines is valid.
ParlaMint-GB_2015-01-05-commons.u200	Is the Secretary of State aware that, specifically in relation to what happened at King’s Cross, the travelling public will not be impressed with his bland assertion that “some aspects” of the work were delayed? Does he know which aspects were delayed? Is he able to share that with the House? Does he accept that the travelling public, including those poor people caught up at Finsbury Park, feel that so long as Network Rail can get away with just saying, “Aspects of the work were delayed”, these delays will continue to happen?
ParlaMint-GB_2015-01-05-commons.u201	I referred at the start of my statement to the seven points being changed at King’s Cross and the amount of work that was being done. The work over the Christmas period amounted to a £200 million investment—by far the biggest investment in the railways over the Christmas period for many years.
ParlaMint-GB_2015-01-05-commons.u202	Does my right hon. Friend agree that those Labour Members who are hostile to a privatised railway and yearn for a return to public sector railways need to be reminded that Network Rail is a public sector operator? Given that it is in the public sector, will he urgently review its governance structure, because the absurd sub-board of 30 to 50 supposedly independent members seems to be inadequately scrutinising the board of directors and the chief executive?
ParlaMint-GB_2015-01-05-commons.u203	My hon. Friend makes interesting points that are worthy of a longer debate rather than just a very short answer. The truth is that Network Rail was reclassified last September when it came on to the public books. What I felt then was the most important thing, and still do, is that the work being done as a result of the huge investment that is going in to make the railway both safer and a better system should go on with minimal disruption. The executive board he mentions is not of the size he suggests, and it is a way of trying to involve the general public as well. But the points he makes concern issues I will certainly look at.
ParlaMint-GB_2015-01-05-commons.u204	We have heard much rhetoric from the Secretary of State about additional investment in the railways. In December, did not his Department, under his direction, cancel the investment in phases 1 and 2 of modular signalling improvements in north Wales? Will he confirm that he has authorised that?
ParlaMint-GB_2015-01-05-commons.u205	What I will confirm is that we are investing some £38 billion in the railways, which is more than any previous Government have invested. In 13 years, Labour electrified 10 miles of track. We will be electrifying more than 800 miles, which is a record of which this Government are incredibly proud. [Official Report, 7 January 2015, Vol. 590, c. 1-2MC.]
ParlaMint-GB_2015-01-05-commons.u206	Under nationalisation, the railways suffered from decades of neglect and under-investment. I pay tribute to Network Rail for the work it is doing to sort out that problem, particularly as my constituents of Elmet and Rothwell regularly use the east coast main line. Does my right hon. Friend find it incredible that many Opposition Members feel that the answer is to nationalise the railways and go back to the bad old days?
ParlaMint-GB_2015-01-05-commons.u207	I am grateful to my hon. Friend for that question. As I have said, we have seen a tremendous increase in the importance of the railways. I do not want to bore the House, but I will repeat the figures that I have already mentioned. Under British Rail, 750 million journeys were made every year. Last year, the figure was 1.6 billion. Growth year on year is the result of the way in which the franchises are selling tickets and promoting the railways.
ParlaMint-GB_2015-01-05-commons.u208	The Secretary of State quite properly said that the network failure was unacceptable, and he quite properly said that Network Rail would be held to account. But he did not say how it would be held to account. Will he please advise the House what he is doing to hold it to account, and what penalties it will pay?
ParlaMint-GB_2015-01-05-commons.u209	I have mentioned two reports that are under way. One will be given to the chief executive of Network Rail by the end of the week. It will be made public in time for his appearance before the Select Committee. The Office of Rail Regulation is rightly investigating what happened at King’s Cross and Paddington. When I have those reports, I will consider what further action to take.
ParlaMint-GB_2015-01-05-commons.u210	Is it not worth noting that some railway companies such as Chiltern Railways were able to run a service on Boxing day? Indeed, as a consequence of privatisation and investment by Chiltern Railways, running times between Banbury and London have been halved and we are now seeing more passengers being carried faster on certain railway lines than at any time in the history of the railways.
ParlaMint-GB_2015-01-05-commons.u211	Indeed, and my right hon. Friend is absolutely right about the improvement in services in his area. We are hearing further calls for even greater improvements, particularly in capacity, as more people are using the railways. But I agree with him about what Chiltern Railways has done for his constituency and for the constituencies along that line.
ParlaMint-GB_2015-01-05-commons.u212	What lessons has the Secretary of State learned from this sorry episode over the Christmas period? Does he recognise that the frustration comes not just from cancellations and long delays but from the complexity of the compensation system, with different train companies applying different terms and conditions? There are also times when people end up on a rail replacement bus having paid top fares for a rail journey.
ParlaMint-GB_2015-01-05-commons.u213	The hon. Gentleman asks a number of questions. I will try to answer them all. The new franchises I am issuing have changed the way in which compensation is awarded, and they are a great improvement on those awarded by the previous Government. He also asked me about bus replacement services. If he wants us to carry out improvements on the network, alternatives have to be made available. I accept that our changes and improvements are an issue, but we are investing a record £38.5 billion in the railways between 2014 and 2019. [Official Report, 7 January 2015, Vol. 590, c. 2MC.]
ParlaMint-GB_2015-01-05-commons.u214	Would my right hon. Friend care to speculate on whether the report will be able to shed light on who was warning that the risks of this engineering programme were uncontainable and likely to spill over into the commuting timetable? Is it not important that Network Rail improves its risk management and learns how to talk about risk more openly and publicly, rather than the report’s simply allocating blame and punishment, which would not be a constructive way forward?
ParlaMint-GB_2015-01-05-commons.u215	My hon. Friend is right that we need to learn the lessons from any such incident. I am not aware of receiving any letters from the shadow Secretary of State before the incident saying that we were trying to do too much. In fact, I am not sure that I had any representations from any Members saying that we were trying to do too much and were too adventurous. My hon. Friend is right that we must learn the lessons and ensure that we do not have similar incidents in the future.
ParlaMint-GB_2015-01-05-commons.u216	Why does the Secretary of State pretend he is in charge when the reality is that the Network Rail board reports to its members—the 46 public members identified by the hon. Member for Kettering (Mr Hollobone)—and a similar number of industry vested interests? Does the Secretary of State not understand that the board was set up in such a way by the previous Government only to try to get borrowing off the books? Now that that has failed, why does he not deal with this preposterous management structure?
ParlaMint-GB_2015-01-05-commons.u217	As I said earlier, the simple fact is that Network Rail is challenged at the moment with the biggest investment in the railways since the Victorian era. Indeed, in the hon. Gentleman’s own constituency a brand-new station is being built by Network Rail. Perhaps he wants it cancelled; I will take that as a representation.
ParlaMint-GB_2015-01-05-commons.u218	My constituents coming from Biggleswade, Sandy and Arlesey into King’s Cross were of course inconvenienced and annoyed by what happened, but they are sensible enough to appreciate that the improvements being done were for their benefit and for the benefit of the line, as they have seen over the past few years. May they also add their sensible voices to those expressing concern about any possible sanction impacting on investment in further improvements rather than on those who made the decisions in the first place?
ParlaMint-GB_2015-01-05-commons.u219	I agree with my right hon. Friend. It is vital that we do nothing to put back the very ambitious programme for improvements to our railways that will, in the long term, benefit all our constituents.
ParlaMint-GB_2015-01-05-commons.u220	The Secretary of State seems to want to blame the shadow Secretary of State and other Members of the House for not warning him that this was about to happen. When he said sorry in his original reply, was he taking responsibility personally as Secretary of State for Transport for the chaos that occurred or was he simply apologising on somebody else’s behalf?
ParlaMint-GB_2015-01-05-commons.u221	I was saying as Secretary of State for Transport that I was very sorry for any inconvenience to passengers. Along with the chief executive of Network Rail, I have put in place measures to ensure that we learn from what went wrong in these incidents, which were clearly unacceptable. The point I would make to the hon. Gentleman is that when I made these points in the last Transport questions and in giving evidence to the Select Committee just before Christmas, nobody said that we were being over-ambitious.
ParlaMint-GB_2015-01-05-commons.u222	I thank my right hon. Friend for the clear announcement he has made today and add my thanks for the work done by Network Rail in Dawlish. Will he confirm that improvements to signalling down to my Plymouth, Sutton and Devonport constituency will deliver a more sustainable railway line that will get trains there much more quickly—in three hours—and that trains will arrive in Plymouth before 9 o’clock in the morning?
ParlaMint-GB_2015-01-05-commons.u223	I congratulate my hon. Friend on the valiant campaign he has led to ensure that he gets faster train services to his constituency, pointing out how important they are for his city. I hope to be able to improve on his campaign so that he gets the services that are wanted for the constituency.
ParlaMint-GB_2015-01-05-commons.u224	After the Christmas shambles, I was pleased to see that the chief executive of Network Rail voluntarily said that he would not take his bonus of £34,000. Has the Secretary of State considered introducing performance-related pay for rail bosses, in the same way as his Government advocate it for teachers?
ParlaMint-GB_2015-01-05-commons.u225	I do not think I will take too many lessons from the Labour party about bonuses. In 2009-10, the bonuses paid to Network Rail were £2.3 billion; this year, it was going to be £260,000. I think there should be carrots and sticks, and, if the criteria set are met, a bonus is a way of rewarding the people directly involved in providing services. [Official Report, 7 January 2015, Vol. 590, c. 2-4MC.]
ParlaMint-GB_2015-01-05-commons.u226	The football fixtures were published in July last year, with a full programme of matches scheduled for Boxing day. There were no national rail services that day—clearly that decision was taken at some stage during the year. What is inexcusable is the complete lack of communication to football fans across the country about what alternative arrangements should have been made. What can my right hon. Friend offer the inconvenienced football fans who were desperately seeking an alternative way to travel on Boxing day?
ParlaMint-GB_2015-01-05-commons.u227	One of the things I am not responsible for—I do not think any member of the Government is—is the fixture list of football clubs. Perhaps they need to answer the question why some of the fixtures are so far apart in the country at a time when, as has been the case for many a year, there is no rail operation because of engineering work on the lines. My hon. Friend makes an interesting point about what should change in the considerations. I do not think football fixtures will be at the top of the priorities, but obviously we should take an interest.
ParlaMint-GB_2015-01-05-commons.u228	My constituents have been contacting me, concerned about the squeeze on their living standards from a 20% increase in rail fares since 2010. How can the Secretary of State make sure that there is no repeat of the chaos and that rail passengers get the service that they are more than paying for?
ParlaMint-GB_2015-01-05-commons.u229	I do not know if that is a spending commitment that will be matched by those on the Opposition Front Bench. It is no good complaining about the level of investment taking place and then saying that somehow there is a bigger pot of money available to subsidise or support the rail industry. That is just not practicable.
ParlaMint-GB_2015-01-05-commons.u230	I pay tribute to the Network Rail workers and contractors who performed such excellent work on the major renovation at Norton Bridge in Staffordshire, with the new flyover of the west coast main line, but will my right hon. Friend consider what more can be done to help travellers to complete disrupted rail journeys? Often, they find themselves in difficult places at 10 o’clock at night and cannot make the last leg of their journey. I believe that Network Rail has a responsibility in such circumstances. I had to go to Derby to pick up relatives and bring them back to Staffordshire, and as much as I love Derbyshire, I prefer to be in Staffordshire for Christmas.
ParlaMint-GB_2015-01-05-commons.u231	I am pleased to hear that my hon. Friend loves Derbyshire. That may be a feeling the hon. Member for Bolsover (Mr Skinner) and I share with him. I would point out that, as he rightly says, the major bottleneck at Stafford and Norton Bridge has now been unblocked, enabling faster, more frequent and reliable services for passengers. Engineers carried out essential bridge and track work at Norton Bridge and renewed the signals and overhead wires at Stafford, forming a key part of an overall project costing some £250 million. Although my hon. Friend did suffer some inconvenience, I hope the benefits of the overall project will be longer lasting.
ParlaMint-GB_2015-01-05-commons.u232	The Secretary of State is a man of integrity. He has apologised and he has accepted that both the contingency arrangements and communications were not adequate. Has he had a chance to assess whether the vast amount of work that Network Rail undertook to do at King’s Cross was in fact too much within the time available?
ParlaMint-GB_2015-01-05-commons.u233	That is one of the questions I want the report to address. The hon. Gentleman is a member of the Transport Committee and I will be interested to see its report, knowing that Mark Carne and Robin Gisby will be giving evidence to the Committee next week.
ParlaMint-GB_2015-01-05-commons.u234	Does the Secretary of State agree that this issue is not simply about late-running engineering works and engineering blockades but important infrastructure such as Dover Priory railway station car park, which is even more late-running than the engineering works we have seen? Does that not underline the need to look at the wider structure of Network Rail, the incentives for efficiency and excellence, and the delivery of projects on time?
ParlaMint-GB_2015-01-05-commons.u235	As I said, the whole upgrading of the rail network cannot be done without disruption in certain areas, meaning that at certain stages closures have to take place. It would not otherwise be possible safely to do the work that has been required. My hon. Friend’s wider point is a valid one that we will want to address following the experiences we had.
ParlaMint-GB_2015-01-05-commons.u236	First Great Western has assured me that it tried its utmost to keep passengers informed about what was going on at Paddington on 27 December, but one of the problems was that Network Rail seemed unable to give it any clear estimates of when the work would be completed, and there were lots of false assurances. How can the Secretary of State ensure that this will not happen again? It has been pointed out to me that it happened last year, in similar circumstances, and the year before as well. Can we be sure that it will not happen next year too?
ParlaMint-GB_2015-01-05-commons.u237	I agree that a lot more can and should be done about communicating what is going on in the rail system, whether by Network Rail or individual train operating companies. When I meet the Rail Delivery Group and the management of Network Rail, I will stress that the whole industry has to address that in future
ParlaMint-GB_2015-01-05-commons.u238	With permission, Mr Speaker, I would like to make a statement about the UK’s Ebola preparedness and the care being given to Pauline Cafferkey, the NHS nurse being treated for Ebola at the Royal Free hospital in London I know the whole House will join me in wishing Pauline well and commending her and her NHS colleagues for the exceptional bravery and compassion they showed in joining the battle against Ebola in Sierra Leone. The work done by Pauline and her colleagues is not just helping to save thousands of lives in Africa; it is protecting the UK from potentially disastrous consequences if the disease spreads beyond the countries where it has currently taken hold. Alongside 69 other NHS volunteers from UK-Med, Pauline spent Christmas on the front line of this vital battle. This House and this country owe them and other colleagues from Public Health England, the Department for International Development, the Foreign Office and the Ministry of Defence an enormous debt of gratitude You will appreciate, Mr Speaker, that for reasons of patient confidentiality I cannot go into great detail about Pauline’s current medical condition. However, I have this morning spoken to Dr Mike Jacobs, an expert in infectious diseases who is leading the team of doctors and nurses caring for Pauline at the Royal Free. As has been reported, Pauline’s condition has deteriorated to a critical state, although she stabilised yesterday and continues to receive the best possible care. She said in Sierra Leone that she hoped her loved ones would be proud of her. Well, she should know today that the whole country is proud of her for her bravery and dedication to the service of others. She stands, quite simply, for the very best of NHS values I wish to turn to the issue of screening and why Pauline continued her journey from Heathrow to Glasgow. Having worked in Sierra Leone for six weeks caring for Ebola patients, she was screened and cleared to depart on her exit from Sierra Leone on Sunday 28 December. She arrived at Heathrow after a connection in Casablanca at 3.50 pm that day, where she was again screened in line with the protocols introduced into major airports and Eurostar terminals last October. As her temperature was within the acceptable range, she was cleared to fly home to Scotland. Clinical experts have always been clear that the process will pick up a few active infections, but it also provides the best opportunity to ensure that returning staff know whom to contact, and this system worked. While still at Heathrow, her reassessment was triggered because of concerns that she may have had an elevated temperature. She was reassessed and her temperature taken a further six times over 30 minutes. As her temperature was within the acceptable range, she was again cleared to travel Pauline arrived in Glasgow at around 11.30 pm on Sunday 28 December and was driven home. She became feverish overnight and, in line with the public health advice that she had been given at Heathrow, she contacted local services. She was admitted to an isolation facility at the Brownlee unit in Gartnavel hospital in Glasgow at 8 am on Monday 29 December. A blood sample tested positive for Ebola at the NHS Lothian testing facility that afternoon, so she was transferred overnight to the Royal Free in a military plane, arriving at 8 am on Tuesday 30 December Some have asked whether it was appropriate for Pauline to be allowed to travel on to Glasgow after she raised concerns about her health at Heathrow. The clinical advice on this is clear. Someone can contract Ebola only by coming into contact with the bodily fluids of an infected person—that means blood, vomit or diarrhoea—which becomes a risk when a patient is exhibiting feverish symptoms. Because she did not have a high temperature, the clinical judgment was made to allow her to continue her journey home However, we recognise that medical understanding of the disease is not complete, which is why we had already taken a number of precautionary steps that go further than strictly required by the clinical evidence. These include asking potential Ebola carriers to avoid crowded places and long journeys on public transport within the 21-day potential incubation period once they arrive back home. Existing guidance also bans any direct patient work for returning health care workers On that precautionary basis, we have, as of last Monday, strengthened our guidance to ensure that anyone from a higher risk group who feels unwell will be reassessed. Advice will immediately be sought from an infectious diseases specialist and the passenger will be referred for testing, if appropriate. The screening centres at Heathrow were viewed at first hand on 1 January by the chief medical officer and the Minister with responsibility for public health and all arrangements, including the revised protocols, were found to be working well We will continue to keep screening and logistical arrangements under review and look to improve or strengthen the process, as guided by expert clinical advice. It is important, however, to remember that the risk to the public of contracting Ebola from contact with someone carrying the virus remains very low indeed while they are not exhibiting any symptoms. The critical point—this is the main purpose of the screening—is to ensure that potential Ebola carriers are identified and know how to ask for medical assistance the moment they display any feverish symptoms, so that they can then be isolated, tested and given full medical support as quickly as possible For that reason, on a precautionary basis, Public Health England has been making contact with passengers on the flight that Pauline was on from Casablanca to Heathrow, and has been working with Moroccan colleagues to trace additional UK passengers on the flight from Freetown to Casablanca to make sure that they know what to do if they start exhibiting symptoms consistent with Ebola. I can inform the House that Health Protection Scotland has made contact with all the passengers on the London to Glasgow flight, and Public Health England has made contact with all UK-based passengers who travelled on the flight from Casablanca to London. I would like to thank British Airways and Royal Air Maroc for their assistance in this process The safety of our volunteers is our first priority. Before any NHS workers are deployed to treatment centres, staff from UK-Med, which runs the NHS humanitarian register, review the clinical protocols and procedures and confirm that they are content that the centre meets appropriate standards. All UK-Med volunteers receive thorough training in the UK and in Sierra Leone before they treat any Ebola patients so that they know how to use their personal protective equipment and understand the nature of the work. In the current case, as the House would expect, Save the Children is conducting a review of its procedures to ensure that any lessons are learned The House will want to be reassured about the overall state of UK preparedness for Ebola. This country was the first in Europe to screen arrivals from high-risk places in west Africa, and numerous countries have since asked for information on how we did this. We have committed more than £230 million to fight the disease in Sierra Leone. We have sent more than 800 military personnel, 150 Department for International Development staff, 70 NHS staff through UK-Med and 64 Public Health England staff to fight the outbreak on the ground—a bigger contribution than any country in the world except for the United States The chief medical officer, Professor Dame Sally Davies, has always been clear that we are likely to see up to a handful of cases in this country, of which, very sadly, this is the first to be diagnosed. NHS England has procured personal protective equipment for each of the hazardous area response teams in England and has additionally arranged for 75,000 PPE suits to be procured for the NHS We have been practising Ebola resilience since 30 July and have had 16 ministerial Cobra meetings in total, including five chaired by the Prime Minister. Both the chief medical officer and the NHS England medical director, Professor Sir Bruce Keogh, are satisfied that at this stage we have made sufficient preparations. However, they stress that, although the risk to the public remains low, we must remain vigilant and be constantly prepared to adjust and improve our processes and protocols as this rapidly changing situation evolves I would like to place on record my thanks to colleagues in the Scottish Government and the UK Government, to the authorities in Sierra Leone and Morocco, to NHS England and to the NHS doctors and nurses at both Gartnavel hospital and the Royal Free for their dedication and hard work over the past few days. I would also like to pay tribute to the dedicated PHE staff who set up the new screening process so rapidly, and thank Border Force staff for their assistance Our thoughts are with Pauline Cafferkey today, but I know all of us are also thinking about her friends and colleagues and the many UK NHS and other personnel working in Sierra Leone right now. They can be reassured that we have no greater priority than their safety, and I commend this statement to the House.
ParlaMint-GB_2015-01-05-commons.u239	Over the break, there have been a number of reports suggesting that the Ebola outbreak is far from under control and we saw, as the Secretary of State has said, the first case diagnosed here in the UK. Concerns are rising and that is why the Secretary of State was right to give his informative update to the House at the very first opportunity May I echo the tribute he paid to all the NHS staff, members of the armed forces and aid workers who are showing immense courage in the most difficult of circumstances? In particular, we echo his moving words and good wishes for Pauline Cafferkey. Our thoughts are with her and her family right now, and we know she could not be in better hands than those of the team at the Royal Free On the substance of the Secretary of State’s statement, we welcome what he had to say and the action he is taking. As I said the last time he updated the House, we will play a constructive part in helping the Government to minimise the risk to the public. That remains the case and the questions I will put to him—some of which will cover areas he has not mentioned, particularly treatment and vaccine—will be asked in that constructive spirit Let me begin with the circumstances surrounding the case. The Secretary of State mentioned the Save the Children review of how Pauline caught the disease. Are the Government part of that review and/or are they carrying out their own, and when will the results be known? He did not mention when it would be published, but that is important as the next group of NHS volunteers will leave for west Africa in the coming weeks. They will want to know whether procedures and guidance for medical staff working out in west Africa will be reviewed in the light of this case I would also be grateful if the Secretary of State could tell us whether he is satisfied with current guidance to NHS staff here on handling Ebola patients. He will be aware that the US Centres for Disease Control and Prevention have recently strengthened their infection control guidance, and on the last occasion he updated the House he said he would follow their lead. What revisions, if any, have been made to those protocols following the CDC’s changes Let me turn to screening. We know that Pauline travelled to Glasgow via London Heathrow and despite informing screening staff at Heathrow that she felt unwell she was still allowed to fly home. I welcome what the Secretary of State has just said about reviewing procedures for future passengers in a similar position, but there are broader concerns. Martin Deahl, who was part of the same volunteer group as Pauline and sat next to her on the plane home, said: “The precautions and checks at the airport were shambolic. There seemed to be too few staff and too few rooms or places to put us in. We were crowded into a small reception area where we waited for an hour or more. I had a higher temperature so they wanted to put me in a room by myself—but they could not find one because they were using every inch of space.” I welcome the Secretary of State’s commitment to keep the arrangements under review, but may I ask him to look into the specific concerns raised by Mr Deahl and to rectify any problems as a matter of urgency, and certainly before the return of the next group of volunteers More broadly, is the Secretary of State satisfied that the screening procedure is adequate in terms of the medical checks that are carried out—are more checks needed than just temperature checks—and, indeed, is he satisfied that staff have had sufficient training? Were the Scottish NHS, the Scottish Government and, crucially, Glasgow airport informed that Miss Cafferkey had warned officials that she felt unwell? In the light of this case, should screening checks be expanded to cover more ports? I would be interested in the Secretary of State’s views on those points. I am sure he would agree that maintaining public confidence in the screening procedure is crucial, and I hope he will continue to keep all those questions under review, as he has said he would Let me turn to post-arrival monitoring. A number of states in America have introduced it for all travellers returning from an affected country, whereas only those showing symptoms on return are actively monitored here. Given that symptoms of Ebola can emerge up to 21 days after exposure, is there a case for strengthening post-arrival monitoring in line with other countries On treatment, we understand that Pauline is receiving an experimental drug, not ZMapp, owing to a worldwide shortage. When the Secretary of State last updated the House, I asked him whether plans were in hand to increase supplies of ZMapp, so the latest news is a matter of concern. Are any efforts under way to increase manufacturing capacity for ZMapp and/or any other potential treatments? Of course, what would give most confidence to people in the countries affected and further afield is the development of an effective vaccine. Will he say something about the timetable for that, and about the Government’s role in trying to expedite it More broadly, will the Secretary of State give the House his latest view on the adequacy of the international response to Ebola. We hear that the health system in Sierra Leone is in danger of collapse, immunisation programmes have come to a halt and people are not going to the hospitals or clinics because they are frightened of catching Ebola, and that might lead to the spread of other diseases. Over Christmas, William Pooley said: “This is a global problem and it will take the world to fix it.” Does the Secretary of State share that sentiment, and what are the Government doing to bring about a better global response than we have seen to date In conclusion, it is clear that Ebola will remain a threat for the foreseeable future, and it will not be easy to meet that challenge. We join the Secretary of State in sending our best wishes to Pauline and her family, and we will continue to work with him and the Government to minimise the risk to others.
